event_id,event_date,asset_id,asset_group,region,event_category,duration_minutes,severity,customers_affected
1,2024-07-21,A036,Line,North,Equipment Failure,173,4,241
2,2024-02-05,A030,Line,North,Equipment Failure,125,5,332
3,2024-02-10,A011,Feeder,Central,Overload,137,4,469
4,2024-06-25,A028,Feeder,North,Equipment Failure,90,5,379
5,2024-12-16,A011,Feeder,Central,Inspection Follow-up,77,1,243
6,2024-11-21,A005,Transformer,Central,Inspection Follow-up,85,3,243
7,2024-12-21,A024,Transformer,West,Overload,103,4,108
8,2024-08-26,A004,Transformer,Central,Equipment Failure,98,4,83
9,2024-07-24,A027,Line,Central,Equipment Failure,114,4,410
10,2024-11-18,A022,Line,North,Weather,123,3,306
11,2024-08-10,A001,Transformer,North,Weather,252,5,92
12,2024-10-16,A028,Feeder,North,Inspection Follow-up,39,3,151
13,2024-10-02,A033,Switch,East,Inspection Follow-up,38,1,83
14,2024-06-25,A040,Switch,East,Weather,167,4,96
15,2024-08-27,A005,Transformer,Central,Weather,177,3,67
16,2024-05-20,A035,Line,South,Vegetation,113,1,363
17,2024-03-21,A014,Line,North,Vegetation,111,1,102
18,2024-03-02,A017,Feeder,South,Equipment Failure,203,3,138
19,2024-03-14,A020,Transformer,East,Vegetation,35,1,154
20,2024-05-27,A002,Line,South,Equipment Failure,175,3,182
21,2024-02-09,A015,Feeder,West,Equipment Failure,258,3,324
22,2024-09-26,A012,Switch,South,Inspection Follow-up,59,3,131
23,2024-09-05,A035,Line,South,Equipment Failure,200,5,247
24,2024-08-15,A013,Switch,Central,Overload,84,3,102
25,2024-01-02,A014,Line,North,Inspection Follow-up,25,1,195
26,2024-11-23,A016,Line,East,Overload,58,4,284
27,2024-10-27,A001,Transformer,North,Weather,259,5,84
28,2024-08-03,A033,Switch,East,Overload,80,4,81
29,2024-07-11,A019,Transformer,West,Equipment Failure,175,3,89
30,2024-12-24,A035,Line,South,Overload,147,3,279
31,2024-10-18,A035,Line,South,Inspection Follow-up,70,3,164
32,2024-06-11,A002,Line,South,Overload,46,2,247
33,2024-04-07,A025,Transformer,Central,Vegetation,83,1,216
34,2024-02-19,A002,Line,South,Inspection Follow-up,29,1,138
35,2024-01-12,A002,Line,South,Vegetation,78,2,387
36,2024-03-24,A035,Line,South,Overload,169,2,315
37,2024-10-20,A034,Feeder,East,Vegetation,98,3,262
38,2024-04-03,A025,Transformer,Central,Vegetation,138,3,121
39,2024-06-16,A016,Line,East,Overload,101,2,204
40,2024-02-24,A036,Line,North,Inspection Follow-up,57,2,141
41,2024-03-09,A035,Line,South,Equipment Failure,145,3,234
42,2024-08-04,A003,Feeder,South,Weather,201,2,294
