asset_id,asset_group,region,event_count,avg_duration_minutes,max_duration_minutes,avg_severity,max_severity,total_customers_affected,unique_event_categories,active_months,events_per_active_month,rule_based_risk_score,model_risk_score,priority_band,priority_rank
A021,Line,Central,7,152.42857142857142,257,3.7142857142857144,5,1828,5,5,1.4,90.58,89.08347772486786,Critical,1
A003,Feeder,South,8,142.0,278,3.25,5,2470,5,6,1.3333333333333333,91.5,87.93808981481487,Critical,2
A026,Line,Central,6,156.33333333333334,271,3.6666666666666665,5,1930,4,4,1.5,89.7,87.58448818783094,Critical,3
A036,Line,North,10,117.7,202,3.3,5,2422,5,5,2.0,87.16,84.39204246031738,Critical,4
A034,Feeder,East,6,139.16666666666666,274,3.8333333333333335,5,1638,4,5,1.2,84.67999999999999,84.34758809523827,Critical,5
A022,Line,North,8,130.25,189,3.625,5,1715,4,3,2.6666666666666665,82.60000000000001,81.98737948412717,Critical,6
A035,Line,South,9,122.55555555555556,200,3.0,5,2474,4,7,1.2857142857142858,83.95111111111112,81.25549444444465,Critical,7
A001,Transformer,North,6,188.66666666666666,259,3.8333333333333335,5,740,3,5,1.2,83.60000000000001,80.1342977513229,Critical,8
A038,Breaker,South,8,159.625,298,3.75,5,929,4,6,1.3333333333333333,81.61500000000001,79.58119814814822,Critical,9
A031,Feeder,North,8,113.375,163,3.0,5,2223,4,6,1.3333333333333333,79.305,78.31807256235844,Critical,10
A028,Feeder,North,6,85.0,149,3.6666666666666665,5,1831,4,4,1.5,74.44333333333333,77.7297531746033,High,11
A024,Transformer,West,8,121.5,234,3.5,4,1435,5,6,1.3333333333333333,79.05,77.11620443121674,High,12
A014,Line,North,8,124.875,282,2.625,5,1729,4,7,1.1428571428571428,73.66499999999999,75.4154972222225,High,13
A009,Breaker,Central,5,167.8,244,3.6,5,448,3,4,1.25,74.34,74.2256073412699,High,14
A030,Line,North,3,153.66666666666666,245,3.6666666666666665,5,736,2,2,1.5,72.32666666666667,73.13313333333316,High,15
A017,Feeder,South,4,139.5,203,3.5,5,1163,4,4,1.0,76.73,73.10221349206346,High,16
A002,Line,South,9,100.22222222222223,175,2.2222222222222223,3,2344,4,9,1.0,71.96222222222222,70.87300515873028,High,17
A018,Line,North,5,96.6,147,3.2,5,1544,4,3,1.6666666666666667,69.86,70.51364230158744,High,18
A039,Feeder,West,4,133.5,194,3.25,4,1143,2,3,1.3333333333333333,69.33000000000001,69.39729603174592,High,19
A015,Feeder,West,4,132.0,258,3.25,4,912,3,3,1.3333333333333333,68.72,69.20022738095221,High,20
A027,Line,Central,6,81.83333333333333,166,3.0,4,2053,4,6,1.0,70.69666666666667,68.84083764172344,Moderate,21
A016,Line,East,7,94.14285714285714,175,2.7142857142857144,4,1801,4,6,1.1666666666666667,68.65285714285714,68.45375182823139,Moderate,22
A007,Transformer,North,7,135.71428571428572,231,2.857142857142857,5,1060,4,6,1.1666666666666667,70.70000000000002,68.40332890306132,Moderate,23
A040,Switch,East,4,108.75,167,3.75,5,294,2,4,1.0,59.89,67.45193690476184,Moderate,24
A025,Transformer,Central,8,119.25,272,2.625,5,973,4,4,2.0,64.98,66.63501607142848,Moderate,25
A004,Transformer,Central,6,117.16666666666667,224,3.1666666666666665,4,724,4,4,1.5,65.80666666666667,66.39316997448988,Moderate,26
A005,Transformer,Central,7,119.28571428571429,177,3.0,4,1088,4,4,1.75,68.83714285714287,64.68367902210883,Moderate,27
A023,Switch,Central,8,125.5,196,2.5,4,843,4,6,1.3333333333333333,63.93,64.26881321428581,Moderate,28
A011,Feeder,Central,5,108.2,200,2.4,4,1340,3,4,1.25,61.74,63.83472330782306,Moderate,29
A037,Breaker,South,6,127.66666666666667,302,2.6666666666666665,4,850,3,4,1.5,63.16666666666667,63.68503357142848,Moderate,30
A013,Switch,Central,4,116.25,129,3.25,4,337,4,3,1.3333333333333333,61.82,63.3399059523809,Low,31
A012,Switch,South,6,98.66666666666667,229,3.1666666666666665,4,639,4,6,1.0,61.25666666666667,62.67195642573697,Low,32
A010,Transformer,Central,7,109.0,180,2.2857142857142856,4,1099,4,5,1.4,61.175714285714285,61.744235870181484,Low,33
A019,Transformer,West,5,131.8,175,2.8,3,537,3,3,1.6666666666666667,61.63,61.08156957766428,Low,34
A032,Switch,East,5,99.8,213,3.0,5,466,3,4,1.25,56.120000000000005,60.24247817460334,Low,35
A033,Switch,East,6,102.5,160,2.6666666666666665,4,407,3,5,1.2,53.70333333333333,55.52097142857129,Low,36
A006,Switch,North,6,91.5,177,2.8333333333333335,4,467,2,6,1.0,51.43666666666667,54.08963849206338,Low,37
A020,Transformer,East,7,90.14285714285714,166,2.142857142857143,3,1202,4,4,1.75,57.29142857142857,53.860222142857104,Low,38
A029,Transformer,South,5,67.6,114,1.8,3,969,3,4,1.25,45.11,48.09326904761904,Low,39
A008,Feeder,South,3,58.333333333333336,79,2.6666666666666665,3,716,2,2,1.5,45.06,47.73702301587306,Low,40
