year,month,region,asset_group,total_events,total_duration_minutes,avg_duration_minutes,avg_severity,total_customers_affected
2024,1,Central,Breaker,1,243,243.0,3.0,94
2024,1,Central,Line,1,78,78.0,3.0,350
2024,1,Central,Switch,1,162,162.0,4.0,81
2024,1,Central,Transformer,2,200,100.0,3.0,301
2024,1,East,Switch,1,132,132.0,3.0,95
2024,1,East,Transformer,2,105,52.5,2.0,378
2024,1,North,Feeder,1,163,163.0,5.0,139
2024,1,North,Line,1,25,25.0,1.0,195
2024,1,North,Switch,1,62,62.0,2.0,88
2024,1,North,Transformer,1,157,157.0,4.0,87
2024,1,South,Breaker,3,358,119.33333333333333,2.6666666666666665,348
2024,1,South,Feeder,1,155,155.0,5.0,239
2024,1,South,Line,1,78,78.0,2.0,387
2024,1,South,Switch,1,29,29.0,3.0,93
2024,1,West,Transformer,2,421,210.5,3.5,424
2024,2,Central,Breaker,1,127,127.0,4.0,145
2024,2,Central,Feeder,1,137,137.0,4.0,469
2024,2,Central,Line,1,32,32.0,3.0,303
2024,2,Central,Transformer,1,110,110.0,3.0,165
2024,2,East,Line,1,175,175.0,3.0,359
2024,2,East,Switch,1,213,213.0,5.0,43
2024,2,North,Line,7,749,107.0,3.2857142857142856,1622
2024,2,North,Switch,1,89,89.0,3.0,35
2024,2,North,Transformer,1,88,88.0,1.0,124
2024,2,South,Breaker,2,207,103.5,3.0,297
2024,2,South,Line,1,29,29.0,1.0,138
2024,2,South,Switch,1,229,229.0,4.0,127
2024,2,West,Feeder,2,396,198.0,3.5,472
2024,2,West,Transformer,1,26,26.0,3.0,172
2024,3,Central,Line,2,341,170.5,2.5,471
2024,3,Central,Switch,2,290,145.0,3.0,207
2024,3,Central,Transformer,2,374,187.0,3.5,259
2024,3,East,Line,1,77,77.0,2.0,329
2024,3,East,Transformer,2,164,82.0,1.5,390
2024,3,North,Feeder,1,44,44.0,3.0,387
2024,3,North,Line,2,358,179.0,2.0,361
2024,3,North,Switch,1,17,17.0,1.0,138
2024,3,South,Breaker,1,257,257.0,3.0,160
2024,3,South,Feeder,2,446,223.0,3.0,319
2024,3,South,Line,3,449,149.66666666666666,2.3333333333333335,961
2024,3,South,Transformer,1,35,35.0,1.0,239
2024,3,West,Transformer,1,232,232.0,4.0,212
2024,4,Central,Feeder,1,200,200.0,2.0,147
2024,4,Central,Line,4,655,163.75,4.5,1169
2024,4,Central,Transformer,3,401,133.66666666666666,2.0,570
2024,4,East,Switch,2,251,125.5,4.0,120
2024,4,East,Transformer,2,301,150.5,3.0,344
2024,4,North,Feeder,1,76,76.0,2.0,475
2024,4,North,Line,2,345,172.5,4.0,476
2024,4,South,Breaker,1,18,18.0,2.0,179
2024,4,South,Feeder,2,120,60.0,3.0,583
2024,4,South,Line,1,116,116.0,3.0,278
2024,4,South,Transformer,1,84,84.0,1.0,104
2024,4,West,Feeder,1,82,82.0,4.0,347
2024,5,Central,Line,2,387,193.5,3.5,546
2024,5,Central,Transformer,3,280,93.33333333333333,2.6666666666666665,258
2024,5,East,Line,1,90,90.0,3.0,162
2024,5,East,Switch,3,180,60.0,1.6666666666666667,275
2024,5,North,Line,1,100,100.0,4.0,312
2024,5,North,Transformer,1,231,231.0,3.0,157
2024,5,South,Breaker,2,600,300.0,4.0,285
2024,5,South,Feeder,1,159,159.0,3.0,447
2024,5,South,Line,2,288,144.0,2.0,545
2024,5,West,Transformer,1,160,160.0,3.0,88
2024,6,Central,Line,3,200,66.66666666666667,3.0,1006
2024,6,Central,Switch,2,189,94.5,3.0,163
2024,6,East,Feeder,1,274,274.0,5.0,124
2024,6,East,Line,2,223,111.5,2.0,289
2024,6,East,Switch,1,167,167.0,4.0,96
2024,6,North,Feeder,3,259,86.33333333333333,3.6666666666666665,1165
2024,6,North,Line,1,107,107.0,3.0,291
